Owner;Name;Type;Final;Array;Access
jdk.internal.access.SharedSecrets;javaObjectInputStreamReadString;JavaObjectInputStreamReadString;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaIOFilePermissionAccess;JavaIOFilePermissionAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaNioAccess;JavaNioAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;unsafe;Unsafe;TRUE;FALSE;private
jdk.internal.access.SharedSecrets;javaNetSocketAccess;JavaNetSocketAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaNetURLClassLoaderAccess;JavaNetURLClassLoaderAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaAWTFontAccess;JavaAWTFontAccess;FALSE;FALSE;private
jdk.internal.access.SharedSecrets;javaSecuritySignatureAccess;JavaSecuritySignatureAccess;FALSE;FALSE;private
jdk.internal.loader.AbstractClassLoaderValue;JLA;JavaLangAccess;TRUE;FALSE;private
jdk.internal.loader.BootLoader;SERVICES_CATALOG;ServicesCatalog;TRUE;FALSE;private
jdk.internal.loader.BootLoader;CLASS_LOADER_VALUE_MAP;ConcurrentHashMap<?,?>;TRUE;FALSE;private
jdk.internal.loader.BootLoader;JAVA_HOME;String;TRUE;FALSE;private
jdk.internal.loader.BootLoader;UNNAMED_MODULE;Module;TRUE;FALSE;private
jdk.internal.loader.BootLoader.PackageHelper;JLA;JavaLangAccess;TRUE;FALSE;private
jdk.internal.loader.BuiltinClassLoader;packageToModule;Map<String,LoadedModule>;TRUE;FALSE;private
jdk.internal.loader.ClassLoaders;JLA;JavaLangAccess;TRUE;FALSE;private
jdk.internal.loader.ClassLoaders;BOOT_LOADER;BootClassLoader;TRUE;FALSE;private
jdk.internal.loader.ClassLoaders;APP_LOADER;AppClassLoader;TRUE;FALSE;private
jdk.internal.loader.ClassLoaders;PLATFORM_LOADER;PlatformClassLoader;TRUE;FALSE;private
jdk.internal.loader.URLClassPath;USER_AGENT_JAVA_VERSION;String;TRUE;FALSE;private
jdk.internal.loader.URLClassPath;JNUA;JavaNetURLAccess;TRUE;FALSE;private
jdk.internal.loader.URLClassPath;JAVA_VERSION;String;TRUE;FALSE;private
jdk.internal.loader.URLClassPath.JarLoader;zipAccess;JavaUtilZipFileAccess;TRUE;FALSE;private
jdk.internal.misc.InnocuousThread;UNSAFE;jdk.internal.misc.Unsafe;TRUE;FALSE;private
jdk.internal.misc.InnocuousThread;ACC;AccessControlContext;TRUE;FALSE;private
jdk.internal.misc.InnocuousThread;INNOCUOUSTHREADGROUP;ThreadGroup;TRUE;FALSE;private
jdk.internal.misc.InnocuousThread;threadNumber;AtomicInteger;TRUE;FALSE;private
jdk.internal.misc.Signal;handlers;Hashtable<Signal,Signal.Handler>;FALSE;FALSE;private
jdk.internal.misc.Signal;signals;Hashtable<Integer,Signal>;FALSE;FALSE;private
jdk.internal.misc.Unsafe;theUnsafe;Unsafe;TRUE;FALSE;private
jdk.internal.misc.VM;savedProps;Map<String,String>;FALSE;FALSE;private
jdk.internal.misc.VM;lock;Object;TRUE;FALSE;private
jdk.internal.module.Builder;JLMA;JavaLangModuleAccess;TRUE;FALSE;private
jdk.internal.module.IllegalAccessLogger;JLA;JavaLangAccess;TRUE;FALSE;private
jdk.internal.module.IllegalAccessLogger;logger;IllegalAccessLogger;FALSE;FALSE;private
jdk.internal.module.ModuleBootstrap;patcher;ModulePatcher;TRUE;FALSE;private
jdk.internal.module.ModuleBootstrap;ALL_UNNAMED;String;TRUE;FALSE;private
jdk.internal.module.ModuleBootstrap;ADD_OPENS;String;TRUE;FALSE;private
jdk.internal.module.ModuleBootstrap;unlimitedFinder;ModuleFinder;FALSE;FALSE;private
jdk.internal.module.ModuleBootstrap;ALL_SYSTEM;String;TRUE;FALSE;private
jdk.internal.module.ModuleBootstrap;ALL_DEFAULT;String;TRUE;FALSE;private
jdk.internal.module.ModuleBootstrap;ADD_READS;String;TRUE;FALSE;private
jdk.internal.module.ModuleBootstrap;ADD_EXPORTS;String;TRUE;FALSE;private
jdk.internal.module.ModuleBootstrap;JAVA_BASE;String;TRUE;FALSE;private
jdk.internal.module.ModuleBootstrap;limitedFinder;ModuleFinder;FALSE;FALSE;private
