Owner;Name;Type;Final;Array;Access
java.lang.Character;DIRECTIONALITY_POP_DIRECTIONAL_FORMAT;byte;TRUE;FALSE;public
java.lang.Character;MODIFIER_SYMBOL;byte;TRUE;FALSE;public
java.lang.Character;DIRECTIONALITY_SEGMENT_SEPARATOR;byte;TRUE;FALSE;public
java.lang.Character;DIRECTIONALITY_FIRST_STRONG_ISOLATE;byte;TRUE;FALSE;public
java.lang.Character;DIRECTIONALITY_RIGHT_TO_LEFT;byte;TRUE;FALSE;public
java.lang.Character;DIRECTIONALITY_NONSPACING_MARK;byte;TRUE;FALSE;public
java.lang.Character;DIRECTIONALITY_POP_DIRECTIONAL_ISOLATE;byte;TRUE;FALSE;public
java.lang.Character;CURRENCY_SYMBOL;byte;TRUE;FALSE;public
java.lang.Character;TITLECASE_LETTER;byte;TRUE;FALSE;public
java.lang.Character;UPPERCASE_LETTER;byte;TRUE;FALSE;public
java.lang.Character;OTHER_SYMBOL;byte;TRUE;FALSE;public
java.lang.Character;DIRECTIONALITY_UNDEFINED;byte;TRUE;FALSE;public
java.lang.Character;FORMAT;byte;TRUE;FALSE;public
java.lang.Character;MAX_HIGH_SURROGATE;char;TRUE;FALSE;public
java.lang.Character;DIRECTIONALITY_PARAGRAPH_SEPARATOR;byte;TRUE;FALSE;public
java.lang.Character;DIRECTIONALITY_RIGHT_TO_LEFT_ARABIC;byte;TRUE;FALSE;public
java.lang.Character;MAX_SURROGATE;char;TRUE;FALSE;public
java.lang.Character;INITIAL_QUOTE_PUNCTUATION;byte;TRUE;FALSE;public
java.lang.Character;LINE_SEPARATOR;byte;TRUE;FALSE;public
java.lang.Character;DIRECTIONALITY_LEFT_TO_RIGHT_ISOLATE;byte;TRUE;FALSE;public
java.lang.Character;MATH_SYMBOL;byte;TRUE;FALSE;public
java.lang.Character;DIRECTIONALITY_LEFT_TO_RIGHT_OVERRIDE;byte;TRUE;FALSE;public
java.lang.Character;MIN_HIGH_SURROGATE;char;TRUE;FALSE;public
java.lang.Character;MIN_SURROGATE;char;TRUE;FALSE;public
java.lang.Character;OTHER_LETTER;byte;TRUE;FALSE;public
java.lang.Character;BYTES;int;TRUE;FALSE;public
java.lang.Character;PRIVATE_USE;byte;TRUE;FALSE;public
java.lang.Character;COMBINING_SPACING_MARK;byte;TRUE;FALSE;public
java.lang.Character;UNASSIGNED;byte;TRUE;FALSE;public
java.lang.Character;DIRECTIONALITY_WHITESPACE;byte;TRUE;FALSE;public
java.lang.Character;DIRECTIONALITY_OTHER_NEUTRALS;byte;TRUE;FALSE;public
java.lang.Character;FINAL_QUOTE_PUNCTUATION;byte;TRUE;FALSE;public
java.lang.Character;MIN_CODE_POINT;int;TRUE;FALSE;public
java.lang.Character;DIRECTIONALITY_BOUNDARY_NEUTRAL;byte;TRUE;FALSE;public
java.lang.Character;DIRECTIONALITY_EUROPEAN_NUMBER_TERMINATOR;byte;TRUE;FALSE;public
java.lang.Character;LETTER_NUMBER;byte;TRUE;FALSE;public
java.lang.Character;OTHER_PUNCTUATION;byte;TRUE;FALSE;public
java.lang.Character;MIN_SUPPLEMENTARY_CODE_POINT;int;TRUE;FALSE;public
java.lang.Character;DASH_PUNCTUATION;byte;TRUE;FALSE;public
java.lang.Character;MAX_CODE_POINT;int;TRUE;FALSE;public
java.lang.Character;MIN_VALUE;char;TRUE;FALSE;public
java.lang.Character;DIRECTIONALITY_RIGHT_TO_LEFT_EMBEDDING;byte;TRUE;FALSE;public
java.lang.Character;MAX_VALUE;char;TRUE;FALSE;public
java.lang.Character;DIRECTIONALITY_EUROPEAN_NUMBER;byte;TRUE;FALSE;public
java.lang.Character;DIRECTIONALITY_EUROPEAN_NUMBER_SEPARATOR;byte;TRUE;FALSE;public
