Owner;Name;Type
java.time.LocalDateTime;serialVersionUID;long
java.net.URL;BUILTIN_HANDLERS_PREFIX;java.lang.String
java.net.URI;L_URIC;long
javax.crypto.ShortBufferException;serialVersionUID;long
java.util.jar.JarFile;META_INF;java.lang.String
java.time.Month;FEBRUARY;java.time.Month
java.lang.invoke.VarHandle$AccessMode;GET_AND_BITWISE_AND_RELEASE;java.lang.invoke.VarHandle$AccessMode
java.net.SocketAddress;serialVersionUID;long
java.lang.Character;DIRECTIONALITY_FIRST_STRONG_ISOLATE;byte
java.lang.Character;CONTROL;byte
java.security.PrivateKey;serialVersionUID;long
sun.invoke.util.Wrapper;VOID;sun.invoke.util.Wrapper
java.util.MissingResourceException;serialVersionUID;long
java.time.Month;JUNE;java.time.Month
java.lang.invoke.DirectMethodHandle;NF_checkBase;byte
java.lang.invoke.MethodHandle;$assertionsDisabled;boolean
java.lang.invoke.VarHandle$AccessMode;SET_VOLATILE;java.lang.invoke.VarHandle$AccessMode
java.text.Format;serialVersionUID;long
java.security.Permission;serialVersionUID;long
java.util.zip.ZipEntry;DEFLATED;int
java.lang.Thread;MIN_PRIORITY;int
java.security.Signature;UNINITIALIZED;int
java.io.RandomAccessFile;O_RDONLY;int
java.lang.invoke.LambdaForm$Kind;IDENTITY;java.lang.invoke.LambdaForm$Kind
java.net.InetAddress;PREFER_SYSTEM_VALUE;int
java.time.LocalDate;DAYS_0000_TO_1970;long
java.lang.module.ModuleDescriptor$Requires$Modifier;SYNTHETIC;java.lang.module.ModuleDescriptor$Requires$Modifier
java.net.URISyntaxException;serialVersionUID;long
java.lang.invoke.MemberName;ANNOTATION;int
java.math.BigInteger;LONG_MASK;long
java.io.File;pathSeparator;java.lang.String
java.lang.System$Logger$Level;OFF;java.lang.System$Logger$Level
java.security.NoSuchProviderException;serialVersionUID;long
java.io.FilePermission;READLINK;int
java.lang.invoke.LambdaForm$Kind;GET_LONG;java.lang.invoke.LambdaForm$Kind
java.time.LocalTime;MICROS_PER_DAY;long
java.lang.invoke.LambdaForm$Kind;PUT_DOUBLE;java.lang.invoke.LambdaForm$Kind
java.lang.ClassValue;HASH_MASK;int
java.lang.VirtualMachineError;serialVersionUID;long
java.util.concurrent.TimeUnit;MINUTE_SCALE;long
java.lang.invoke.LambdaForm$Kind;DIRECT_INVOKE_STATIC;java.lang.invoke.LambdaForm$Kind
java.util.Locale$Category;DISPLAY;java.util.Locale$Category
java.net.HttpCookie;MAX_AGE_UNSPECIFIED;long
java.time.Month;JULY;java.time.Month
jdk.internal.reflect.ConstantPool$Tag;FLOAT;jdk.internal.reflect.ConstantPool$Tag
java.util.Hashtable;serialVersionUID;long
java.time.temporal.ChronoField;MILLI_OF_SECOND;java.time.temporal.ChronoField
java.text.Format$Field;serialVersionUID;long
java.lang.Character;LETTER_NUMBER;byte
java.lang.Byte;MIN_VALUE;byte
java.lang.invoke.MethodHandleNatives;$assertionsDisabled;boolean
java.lang.invoke.MethodHandleImpl$Intrinsic;TRY_FINALLY;java.lang.invoke.MethodHandleImpl$Intrinsic
java.lang.module.ModuleDescriptor;$assertionsDisabled;boolean
jdk.internal.misc.Unsafe;ARRAY_FLOAT_BASE_OFFSET;int
java.net.URI;H_MARK;long
java.lang.invoke.MethodTypeForm;LF_INTERPRET;int
java.lang.ArrayStoreException;serialVersionUID;long
jdk.internal.reflect.ConstantPool$Tag;INTEGER;jdk.internal.reflect.ConstantPool$Tag
java.net.URI;H_HEX;long
java.net.URI;L_UPALPHA;long
java.lang.invoke.VarHandle$AccessMode;GET_ACQUIRE;java.lang.invoke.VarHandle$AccessMode
java.lang.Character;FORMAT;byte
java.lang.Character;MAX_HIGH_SURROGATE;char
java.time.temporal.ChronoUnit;CENTURIES;java.time.temporal.ChronoUnit
java.time.Instant;MIN_SECOND;long
java.security.Provider;ALIAS_LENGTH;int
java.lang.invoke.DirectMethodHandle;AF_GETSTATIC_INIT;byte
java.lang.invoke.VarHandle$AccessMode;SET;java.lang.invoke.VarHandle$AccessMode
java.time.Month;APRIL;java.time.Month
java.nio.CharBuffer;$assertionsDisabled;boolean
java.lang.IllegalArgumentException;serialVersionUID;long
java.lang.invoke.MethodHandleImpl$Intrinsic;ARRAY_LENGTH;java.lang.invoke.MethodHandleImpl$Intrinsic
java.util.Locale;serialVersionUID;long
java.nio.charset.CharsetDecoder;$assertionsDisabled;boolean
java.lang.invoke.LambdaForm$BasicType;J_TYPE_NUM;byte
java.time.temporal.ChronoField;MONTH_OF_YEAR;java.time.temporal.ChronoField
javax.crypto.BadPaddingException;serialVersionUID;long
java.util.Spliterator;IMMUTABLE;int
java.lang.invoke.Invokers;NF_checkCustomized;byte
java.net.URI;H_USERINFO;long
java.net.InetAddress;serialVersionUID;long
java.util.concurrent.TimeUnit;MILLI_SCALE;long
java.time.Duration;serialVersionUID;long
java.lang.Character;SURROGATE;byte
java.time.format.TextStyle;SHORT;java.time.format.TextStyle
java.io.Reader;TRANSFER_BUFFER_SIZE;int
sun.invoke.util.Wrapper;BYTE;sun.invoke.util.Wrapper
java.lang.Character;SIZE;int
java.lang.Float;SIZE;int
java.lang.invoke.LambdaForm$Kind;GET_BYTE;java.lang.invoke.LambdaForm$Kind
java.lang.InstantiationException;serialVersionUID;long
java.io.ObjectInputFilter$Status;ALLOWED;java.io.ObjectInputFilter$Status
java.lang.invoke.LambdaForm$Kind;GUARD;java.lang.invoke.LambdaForm$Kind
java.nio.file.attribute.FileTime;NANOS_PER_MILLI;int
java.util.Properties;serialVersionUID;long
java.lang.invoke.VarHandle$AccessMode;GET_AND_BITWISE_OR_RELEASE;java.lang.invoke.VarHandle$AccessMode
java.lang.invoke.ClassSpecializer;STABLE;java.lang.String
java.math.BigInteger;KARATSUBA_THRESHOLD;int
java.nio.Buffer;SPLITERATOR_CHARACTERISTICS;int
java.util.concurrent.atomic.AtomicInteger;serialVersionUID;long
java.lang.ArrayIndexOutOfBoundsException;serialVersionUID;long
java.lang.Float;POSITIVE_INFINITY;float
java.nio.file.attribute.FileTime;MICROS_PER_SECOND;long
jdk.internal.misc.Unsafe;ARRAY_LONG_INDEX_SCALE;int
java.io.NotActiveException;serialVersionUID;long
java.util.stream.Collector$Characteristics;UNORDERED;java.util.stream.Collector$Characteristics
java.lang.invoke.LambdaForm$Kind;LINK_TO_TARGET_METHOD;java.lang.invoke.LambdaForm$Kind
