Owner;Name;Type
java.util.Locale$FilteringMode;REJECT_EXTENDED_RANGES;java.util.Locale$FilteringMode
java.util.Locale;CANADA_FRENCH;java.util.Locale
java.lang.System$Logger$Level;WARNING;java.lang.System$Logger$Level
java.util.jar.Attributes$Name;SPECIFICATION_TITLE;java.util.jar.Attributes$Name
java.time.zone.ZoneOffsetTransitionRule$TimeDefinition;STANDARD;java.time.zone.ZoneOffsetTransitionRule$TimeDefinition
java.util.Locale$IsoCountryCode;PART1_ALPHA3;java.util.Locale$IsoCountryCode
java.net.Proxy$Type;DIRECT;java.net.Proxy$Type
java.util.Locale;TAIWAN;java.util.Locale
java.lang.Thread$State;NEW;java.lang.Thread$State
java.math.BigInteger;ZERO;java.math.BigInteger
jdk.internal.reflect.ConstantPool$Tag;METHODHANDLE;jdk.internal.reflect.ConstantPool$Tag
java.lang.invoke.VarHandle$AccessMode;WEAK_COMPARE_AND_SET;java.lang.invoke.VarHandle$AccessMode
java.net.Proxy$Type;SOCKS;java.net.Proxy$Type
java.time.temporal.ChronoField;YEAR_OF_ERA;java.time.temporal.ChronoField
java.time.format.DateTimeFormatter;ISO_TIME;java.time.format.DateTimeFormatter
java.lang.Character;TYPE;java.lang.Class<java.lang.Character>
java.lang.invoke.VarHandle$AccessMode;COMPARE_AND_EXCHANGE_RELEASE;java.lang.invoke.VarHandle$AccessMode
java.time.Month;FEBRUARY;java.time.Month
java.lang.invoke.VarHandle$AccessMode;GET_AND_BITWISE_AND_RELEASE;java.lang.invoke.VarHandle$AccessMode
java.util.Locale;JAPANESE;java.util.Locale
java.time.format.DateTimeFormatter;BASIC_ISO_DATE;java.time.format.DateTimeFormatter
sun.invoke.util.Wrapper;VOID;sun.invoke.util.Wrapper
java.time.Month;JUNE;java.time.Month
java.math.BigInteger;ONE;java.math.BigInteger
java.lang.invoke.VarHandle$AccessMode;SET_VOLATILE;java.lang.invoke.VarHandle$AccessMode
java.util.Locale;ITALY;java.util.Locale
java.nio.charset.CodingErrorAction;IGNORE;java.nio.charset.CodingErrorAction
java.lang.module.ModuleDescriptor$Requires$Modifier;SYNTHETIC;java.lang.module.ModuleDescriptor$Requires$Modifier
java.time.OffsetTime;MAX;java.time.OffsetTime
java.lang.System$Logger$Level;OFF;java.lang.System$Logger$Level
java.lang.Boolean;TYPE;java.lang.Class<java.lang.Boolean>
java.util.Locale$Category;DISPLAY;java.util.Locale$Category
java.time.Month;JULY;java.time.Month
jdk.internal.reflect.ConstantPool$Tag;FLOAT;jdk.internal.reflect.ConstantPool$Tag
java.time.temporal.ChronoField;MILLI_OF_SECOND;java.time.temporal.ChronoField
java.nio.channels.FileChannel$MapMode;READ_WRITE;java.nio.channels.FileChannel$MapMode
java.util.ResourceBundle$Control;FORMAT_CLASS;java.util.List<java.lang.String>
jdk.internal.reflect.ConstantPool$Tag;INTEGER;jdk.internal.reflect.ConstantPool$Tag
java.util.jar.Attributes$Name;EXTENSION_NAME;java.util.jar.Attributes$Name
java.lang.invoke.VarHandle$AccessMode;GET_ACQUIRE;java.lang.invoke.VarHandle$AccessMode
java.time.temporal.ChronoUnit;CENTURIES;java.time.temporal.ChronoUnit
java.util.Locale;FRENCH;java.util.Locale
